代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来
002488,汇添富稳添利定开债C,1.0135,0.40%,1.00%,1.10%,0.80%,--,1.30%
002489,国泰民福保本混合,1.0426,4.20%,0.48%,0.77%,0.58%,1.36%,--
002490,金鹰元祺信用债,1.0982,0.22%,0.64%,1.77%,4.22%,--,9.95%
002491,银华添益定开债,1.0672,0.47%,3.29%,3.19%,4.92%,--,6.70%
002492,工银月月薪定期支付债券C,1.0222,-1.25%,-2.48%,-4.21%,-2.20%,--,2.30%
002494,兴业聚盈灵活配置混合,1.0650,-0.56%,-1.30%,-2.02%,-0.93%,--,6.50%
002495,前海开源量化优选A,0.9434,-4.63%,-12.55%,-13.42%,-6.14%,--,-5.20%
002496,前海开源量化优选C,0.9424,-4.63%,-12.56%,-13.44%,-5.58%,--,-5.30%
002497,东方盛世灵活配置混合,1.0930,0.68%,-0.15%,0.73%,0.90%,--,9.34%
002498,兴业聚鑫灵活配置混合,1.0376,0.29%,-3.44%,-5.97%,-3.70%,--,7.06%
002499,德邦纯债9个月定开债A,,,,,,,
002500,德邦纯债9个月定开债C,,,,,,,
002501,银华远景债券,1.0200,0.20%,-0.29%,-1.45%,-2.58%,--,2.00%
002502,中银腾利混合A,0.9856,0.51%,-0.80%,-0.31%,0.18%,--,6.66%
002503,中银腾利混合C,0.9800,0.10%,-1.31%,-0.81%,-0.33%,--,6.02%
002504,鹏华金鼎保本混合A,1.0260,2.60%,0.39%,1.48%,2.81%,4.37%,--
002505,鹏华金鼎保本混合C,1.0120,1.20%,0.50%,1.50%,2.85%,4.01%,--
002506,招商招盈18个月定开债,1.0952,0.50%,2.80%,3.48%,4.88%,--,9.50%
002507,兴业定开债C,1.1406,0.18%,1.78%,2.42%,3.45%,--,7.15%
002508,华宝宝鑫债券A,1.0325,0.43%,0.94%,2.14%,3.43%,--,3.29%
002509,华宝宝鑫债券C,1.0236,0.40%,0.85%,1.95%,3.07%,--,2.41%
002510,申万菱信中证500指数增强,0.7937,-3.87%,-13.83%,-23.73%,-26.17%,--,-19.44%
002512,长城久润保本,1.0200,2.02%,0.20%,0.50%,1.41%,-0.76%,--
002513,金鹰元安混合C,1.0537,-2.14%,3.48%,4.64%,4.90%,--,5.77%
002514,招商丰益混合A,1.1097,-0.90%,-2.81%,-5.39%,-2.39%,--,10.50%
002515,招商丰益混合C,1.0244,-0.78%,-2.86%,-5.38%,-2.49%,--,2.00%
002518,民生加银鑫福混合,1.0730,0.00%,-0.56%,-0.56%,0.00%,--,7.20%
002519,博时裕景纯债,1.0091,0.70%,1.70%,3.22%,5.29%,--,8.25%
002520,招商招瑞纯债发起式C,1.1142,0.72%,2.39%,5.39%,6.71%,--,11.51%
002521,永赢双利债券A,0.9890,-0.14%,-1.35%,-3.30%,-0.61%,--,186.05%
002522,永赢双利债券C,0.9983,-0.18%,-1.45%,-2.67%,-0.94%,--,1.05%
002523,光大恒利纯债,1.0151,0.50%,1.20%,0.89%,2.61%,--,6.12%
002524,兴业福益债券,1.0471,0.38%,1.26%,2.45%,4.39%,--,5.22%
002527,南方安享绝对收益,0.9418,-0.22%,-0.70%,-3.09%,-3.67%,--,-5.84%
002528,泰康安益纯债A,1.0780,0.44%,1.60%,3.87%,6.33%,--,7.83%
002529,泰康安益纯债C,1.2183,0.41%,1.57%,3.82%,6.11%,--,21.85%
002532,中欧强盈债券,1.0682,0.41%,1.57%,2.31%,3.64%,--,6.81%
002533,中加心享混合C,1.0207,0.50%,0.61%,-0.06%,0.73%,--,22.53%
002534,华安稳固收益债券A,1.3093,0.38%,1.27%,2.53%,4.06%,--,53.01%
002535,中银鑫利混合A,1.1000,0.27%,2.52%,-3.51%,2.55%,--,15.78%
002536,中银鑫利混合C,1.0930,0.18%,2.44%,-3.53%,2.29%,--,15.08%
002537,平安大华安盈保本混合,1.0244,2.50%,0.29%,0.59%,0.00%,0.00%,--
002540,招商丰和混合A,,,,,,,
002541,招商丰和混合C,,,,,,,
002542,长城久鼎保本混合,1.0513,5.14%,0.23%,0.70%,0.61%,2.28%,--
002543,长城久益保本A,1.0585,5.86%,0.10%,0.39%,1.20%,2.68%,--
002544,长城久益保本C,1.0439,4.40%,0.06%,0.23%,0.87%,2.15%,--
002545,东方岳灵活配置混合,0.9242,-0.99%,-7.38%,-15.16%,-13.93%,--,-7.60%
002546,泰康薪意保货币E,0.8153,0.27%,0.84%,1.86%,4.06%,--,8.94%
002547,民生加银养老服务混合,1.0500,-3.82%,-13.15%,-7.04%,-10.58%,--,5.70%
002548,嘉实稳瑞纯债债券,1.0802,0.56%,1.60%,2.96%,4.96%,--,11.33%
002549,嘉实稳祥纯债债券A,1.1170,0.69%,2.24%,3.89%,6.96%,--,11.74%
002550,嘉实稳荣债券,1.0512,0.57%,1.74%,3.04%,5.40%,--,7.82%
002552,华夏恒利定开债,1.0783,0.44%,2.19%,3.37%,5.08%,--,7.81%
002553,博时创业成长混合C,1.5600,-11.73%,-19.77%,-29.80%,-24.68%,--,-5.66%
002554,信达澳银纯债债券,1.0025,-3.00%,-4.21%,-3.00%,-1.18%,--,0.20%
002555,博时沪港深优质企业基金C,0.7306,-3.95%,-7.71%,-22.59%,-17.70%,--,6.73%
002556,博时丝路主题股票C,0.7932,-2.75%,-10.87%,-18.43%,-13.35%,--,7.45%
002558,博时鑫瑞混合A,1.0241,0.99%,-1.26%,-2.96%,-1.74%,--,1.80%
002559,博时鑫瑞混合C,1.0191,1.00%,-1.36%,-3.06%,-1.84%,--,1.30%
002560,诺安和鑫灵活配置混合,0.7771,-7.89%,-17.59%,-24.33%,-23.29%,--,-22.06%
002561,东吴安鑫量化,0.9209,1.10%,1.76%,-3.65%,-6.58%,--,3.42%
002562,泓德泓益量化混合,0.9975,-1.67%,-12.78%,-18.65%,-18.52%,--,0.30%
002563,泓德泓汇混合,0.9895,-1.59%,-11.26%,-13.65%,-7.80%,--,-0.70%
002564,新沃通盈灵活配置混合,0.8217,-4.65%,-11.54%,-17.00%,-26.46%,--,10.64%
002567,大成国家安全主题混合,0.7747,-5.58%,-14.79%,-20.21%,-22.97%,--,-22.20%
002568,博时裕发纯债,1.0521,-1.13%,-0.19%,1.15%,3.54%,--,6.85%
002569,博时裕弘纯债债券,1.0521,0.48%,1.35%,2.63%,4.68%,--,5.70%
002573,建信汇利灵活配置混合,0.9971,-0.91%,-4.24%,-3.47%,-1.37%,--,-0.09%
002574,招商瑞庆混合,0.9697,-1.62%,-3.58%,-2.28%,7.12%,--,11.41%
002577,南方新兴混合,0.6505,-5.28%,-11.14%,-13.17%,-28.14%,--,-35.40%
002578,博时裕泉纯债债券,1.0041,0.30%,1.18%,2.48%,4.73%,--,6.62%
002579,融通增利债券,1.0061,0.50%,1.30%,2.42%,4.69%,--,8.45%
002580,泰信鑫选灵活配置混合C,0.6846,-11.63%,-20.09%,-31.39%,-32.81%,--,-31.87%
002581,招商丰凯混合A,1.1172,-0.80%,-2.37%,-5.45%,-1.68%,--,11.00%
002582,招商丰凯混合C,1.0398,-0.86%,-2.55%,-5.58%,-1.90%,--,3.30%
002583,泰信行业精选混合C,0.8767,-12.76%,-19.13%,-28.10%,-25.85%,--,-26.12%
002584,富安达长盈灵活配置混合,0.8981,-3.22%,-8.52%,-9.50%,-7.00%,--,-6.07%
002585,建信兴利灵活配置混合,1.0571,0.39%,0.24%,0.68%,2.33%,--,5.81%
002586,金鹰添利信用债债券A,1.0602,0.19%,1.34%,2.41%,3.31%,--,6.10%
002587,金鹰添利信用债债券C,1.0592,0.19%,1.34%,2.51%,3.31%,--,6.00%
002588,博时银智大数据100A,1.1137,-3.54%,-10.80%,-20.53%,-19.75%,--,10.21%
002591,中欧信用增利债券(LOF)E,1.0587,0.53%,-1.50%,-1.88%,0.78%,--,0.62%
002592,中欧纯债债券(LOF)E,1.1421,0.88%,0.53%,-0.61%,1.60%,--,1.21%
002593,富国美丽中国混合,1.1636,-2.05%,-7.04%,-10.66%,-5.75%,--,25.43%
002594,工银现代服务业混合,0.9921,0.20%,-4.89%,-9.81%,-9.97%,--,-0.70%
002595,博时工业4.0主题股票,0.9746,-3.40%,-12.74%,-19.77%,-15.04%,--,-3.40%
002596,华商回报1号混合,0.8870,0.05%,-2.78%,-15.03%,-12.95%,--,-11.38%
002597,兴业成长动力混合,0.9316,-0.75%,-12.62%,-15.64%,-11.62%,--,-7.20%
002598,平安大华智能生活混合A,0.6620,-2.35%,-14.21%,-15.74%,-27.90%,--,-33.60%
002599,平安大华智能生活混合C,0.6608,-4.38%,-13.59%,-17.40%,-27.70%,--,-34.50%
002600,易方达裕景添利6个月定开债,1.0946,0.46%,2.05%,2.24%,3.70%,--,9.40%
002601,中银证券保本1号,1.0141,1.50%,0.10%,0.41%,-1.40%,-2.23%,--
002602,易方达丰惠混合,0.9040,-1.86%,-3.13%,-13.72%,-11.86%,--,-10.10%
002603,工银瑞丰定开纯债,1.1235,0.79%,2.32%,9.19%,11.45%,--,12.79%
002604,华夏新起点混合,0.9144,-5.85%,-12.17%,-18.30%,-13.60%,--,-9.80%
002605,融通新消费灵活配置混合,1.1463,-2.30%,-9.83%,-13.69%,-8.90%,--,14.70%
002606,融通新消费灵活配置混合(后端),,,,,,,
002610,博时黄金ETF联接A,0.9636,0.99%,-0.36%,-1.76%,-2.64%,--,-5.12%
002611,博时黄金ETF联接C,0.9547,0.97%,-0.44%,-1.93%,-2.97%,--,-6.00%
002612,融通国企改革新机遇灵活配置混合,0.8680,-5.41%,-14.22%,-13.79%,-15.05%,--,-12.50%
002613,融通国企改革新机遇灵活配置混合(后端),,,,,,,
002614,中银颐利混合A,0.9554,0.31%,-2.53%,-2.73%,-0.64%,--,6.75%
002615,中银颐利混合C,0.9555,0.31%,-2.63%,-2.83%,-0.74%,--,6.64%
002616,中银益利混合A,1.0339,0.39%,0.39%,1.07%,3.97%,--,8.75%
002617,中银益利混合C,1.0339,0.49%,0.39%,1.07%,3.97%,--,8.86%
002618,中银裕利混合A,1.0610,0.38%,0.57%,2.08%,4.56%,--,11.77%
002619,中银裕利混合C,1.0610,0.38%,0.57%,1.98%,4.46%,--,11.77%
002620,中邮未来新蓝筹混合,0.9952,-8.61%,-11.60%,-10.73%,-0.70%,--,-0.20%
002621,中欧消费主题股票A,1.1201,0.45%,-13.49%,-10.74%,-4.92%,--,12.20%
002622,广发稳裕保本,1.1000,11.26%,0.27%,1.01%,2.32%,6.57%,--
002624,广发优企精选混合,1.2133,-1.22%,-10.63%,-10.76%,2.54%,--,21.10%
002625,博时安怡6个月,1.0593,0.19%,1.83%,2.42%,2.32%,--,5.90%
002628,招商安博灵活配置混合A,0.9859,-2.25%,-4.15%,-5.79%,-3.66%,--,-1.93%
002629,招商安博灵活配置混合C,0.9724,-2.29%,-4.28%,-6.01%,-4.14%,--,-3.28%
002630,江信瑞福灵活配置混合A,0.8110,-0.68%,-5.57%,-17.59%,-19.45%,--,-19.40%
002631,江信瑞福灵活配置混合C,0.7807,-0.75%,-5.79%,-18.08%,-21.48%,--,-22.41%
002632,鑫元双债增强债券A,1.0090,-0.74%,0.08%,1.29%,3.33%,--,4.88%
002633,鑫元双债增强债券C,1.0128,-0.77%,-0.02%,1.26%,3.09%,--,4.14%
002634,华宝未来主导混合,0.5949,-10.11%,-19.89%,-30.21%,-35.78%,--,-40.40%
002635,融通增鑫债券,1.0081,0.60%,1.40%,2.61%,4.88%,--,7.49%
002636,广发集裕债券A,1.0400,-2.07%,-3.34%,-5.44%,-2.98%,--,4.20%
002637,广发集裕债券C,1.0300,-2.27%,-3.64%,-5.84%,-3.28%,--,3.20%
002638,兴业天融债券,1.0632,0.66%,1.43%,3.81%,6.07%,--,10.16%
002639,天弘价值精选灵活配置混合,0.9483,-2.92%,-7.01%,-10.14%,-12.09%,--,-5.42%
002640,中信建投睿溢混合,0.9982,-0.72%,-4.51%,-3.74%,-2.68%,--,0.26%
002643,鹏华兴利混合,1.0730,0.47%,0.00%,0.00%,2.09%,--,7.50%
002644,大成景荣债券A,0.9672,-2.52%,-6.03%,-7.03%,-6.12%,--,-3.40%
002645,大成景荣债券C,0.9622,-2.24%,-5.97%,-6.97%,-5.97%,--,-3.90%
002646,中科沃土货币A,0.5697,0.18%,0.72%,1.62%,3.54%,--,7.86%
002647,中科沃土货币B,0.6360,0.20%,0.78%,1.75%,3.79%,--,8.46%
002649,民生智造2025灵活配置混合,0.8747,-0.90%,-10.00%,-12.96%,--,--,-11.97%
002650,东方红稳添利纯债,1.0521,0.38%,1.74%,3.14%,4.89%,--,7.63%
002651,东方红汇利债券A,1.0378,0.32%,0.23%,-0.26%,3.11%,--,10.02%
002652,东方红汇利债券C,1.0270,0.28%,0.12%,-0.46%,2.68%,--,8.92%
002653,泰康沪港深精选混合,1.0593,-0.71%,-7.36%,-10.71%,-9.12%,--,17.73%
002654,上投摩根策略精选混合,0.6984,-9.00%,-20.86%,-29.85%,-32.76%,--,-30.20%
002655,南方卓享绝对收益,1.0144,0.39%,0.33%,0.29%,-0.04%,--,1.63%
002656,南方创业板ETF联接A,0.6249,-8.06%,-20.55%,-28.69%,-32.12%,--,-37.51%
002657,招商安裕灵活配置混合A,0.9895,-3.85%,-5.44%,-5.44%,-3.50%,--,-1.28%
002658,招商安裕灵活配置混合C,0.9751,-3.90%,-5.59%,-5.73%,-4.15%,--,-2.71%
002659,兴业聚全灵活配置混合,1.1050,0.27%,-0.27%,-0.54%,1.56%,--,10.70%
002660,兴业聚源灵活配置混合,1.1110,0.18%,-0.27%,-0.54%,1.74%,--,11.20%
002661,兴业天禧债券,1.0441,0.68%,1.36%,3.57%,4.71%,--,4.40%
002662,前海开源沪港深大消费混合A,0.9699,-0.71%,-12.66%,-16.74%,-14.41%,--,-2.00%
002663,前海开源沪港深大消费混合C,0.9649,-0.71%,-12.63%,-16.81%,-14.55%,--,-2.50%
002664,万家瑞和灵活配置混合A,1.0606,0.54%,1.20%,2.59%,9.60%,--,17.66%
002665,万家瑞和灵活配置混合C,1.0562,0.54%,1.24%,2.46%,5.83%,--,13.28%
002666,前海开源沪港深创新成长混合A,1.1843,-3.59%,-6.20%,-8.88%,-10.33%,--,23.30%
002667,前海开源沪港深创新成长混合C,1.1720,-3.63%,-6.18%,-8.89%,-10.64%,--,22.07%
002668,兴业聚丰灵活配置混合,1.1440,0.26%,-0.26%,-0.52%,1.78%,--,14.60%
002669,华商万众创新混合,0.6198,-7.76%,-16.60%,-21.87%,-26.16%,--,-38.20%
002670,万家沪深300指数增强A,0.8527,-0.50%,-9.35%,-14.54%,-16.76%,--,-14.70%
002671,万家沪深300指数增强C,1.0759,-0.48%,-9.07%,-13.94%,-16.26%,--,7.65%
002672,诺德货币A,0.6213,0.23%,0.74%,1.68%,3.77%,--,8.20%
002673,诺德货币B,0.6871,0.25%,0.81%,1.80%,4.02%,--,8.84%
002674,中融融丰纯债A,0.4970,0.00%,-0.20%,-12.65%,-49.70%,--,-50.30%
002675,中融融丰纯债C,0.5841,0.00%,-0.34%,-12.18%,-40.53%,--,-41.60%
002679,工银安盈货币A,0.6629,0.22%,0.86%,1.97%,4.23%,--,9.25%
002680,工银安盈货币B,0.7298,0.24%,0.92%,2.09%,4.49%,--,9.89%
002681,金鹰元和灵活配置混合A,0.9395,0.37%,-5.79%,-7.18%,-5.35%,--,-3.84%
002682,金鹰元和灵活配置混合C,0.9344,0.33%,-5.93%,-7.48%,-6.01%,--,-5.25%
002683,民生加银前沿科技灵活配置混合,0.8502,-5.62%,-13.27%,-19.85%,-17.45%,--,-14.40%
002684,民生加银鑫安纯债A,1.0101,0.40%,1.39%,2.51%,4.78%,--,7.83%
002685,中欧丰泓沪港深混合A,0.9359,-3.32%,-12.64%,-12.26%,-10.27%,--,5.74%
002686,中欧丰泓沪港深混合C,0.9240,-3.36%,-12.88%,-12.57%,-10.98%,--,4.36%
002688,红塔红土长益定开债A,1.0041,0.65%,2.21%,2.39%,4.60%,--,4.44%
002689,红塔红土长益定开债C,1.0041,0.61%,2.10%,2.19%,4.19%,--,3.63%
002690,前海开源恒泽保本混合A,1.0573,5.70%,0.28%,0.76%,1.34%,3.02%,--
002691,前海开源恒泽保本混合C,1.0523,5.20%,0.29%,0.67%,1.25%,2.83%,--
002692,富国创新科技混合,0.7964,-13.77%,-20.22%,-26.88%,-27.55%,--,-21.10%
002693,中银合利债券,0.9941,0.20%,-0.40%,0.40%,1.22%,--,-0.60%
002694,中银新蓝筹混合,0.8230,-0.84%,-9.34%,-16.50%,-19.98%,--,-17.50%
002697,中欧消费主题股票C,1.1276,0.44%,-13.67%,-10.95%,-4.56%,--,13.00%
002698,博时裕利纯债债券,1.0091,1.00%,2.10%,3.73%,6.44%,--,9.62%
002701,东方红汇阳债券A,1.0475,0.30%,-0.13%,-0.19%,2.76%,--,10.99%
002702,东方红汇阳债券C,,,,,,,
002703,长城久源保本混合,1.0465,4.67%,0.21%,1.25%,2.32%,3.53%,--
002704,德邦纯债一年定开债A,1.0398,0.61%,1.72%,3.02%,5.01%,--,4.30%
002705,德邦纯债一年定开债C,1.0298,0.56%,1.60%,2.78%,4.56%,--,3.29%
002706,民生加银现金添利货币,,,,,,,
002707,大摩科技领先混合,0.7452,-0.87%,-12.27%,-18.81%,--,--,-25.17%
002708,大摩健康产业混合,1.0160,-5.97%,-22.50%,-14.54%,-5.01%,--,2.30%
002709,红塔红土人人宝货币A,0.7130,0.23%,0.74%,1.69%,3.73%,--,7.66%
002710,红塔红土人人宝货币B,0.7761,0.24%,0.80%,1.82%,3.98%,--,8.26%
