代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,
1368,兴业稳固收益一年理财债券,--,0.30%,0.89%,1.79%,2.91%,--,2.91%,
1369,兴业稳固收益两年理财债券,1.0071,0.30%,1.10%,2.08%,3.90%,9.39%,10.37%,
1370,中银新趋势混合,1.0809,0.56%,-0.64%,-1.55%,0.19%,6.92%,8.20%,
1371,富国沪港深价值混合,1.1142,-4.48%,-13.38%,-13.33%,-7.83%,28.71%,26.27%,
1373,易方达新丝路灵活配置混合,0.7005,-5.37%,-16.22%,-20.76%,-15.91%,-3.51%,-31.30%,
1374,华夏现金增利货币B,0.8102,0.26%,0.83%,1.99%,4.29%,11.01%,12.49%,
1375,金元顺安优质精选混合C,0.9486,-2.67%,-6.88%,-14.13%,-18.21%,-9.71%,-9.11%,
1376,泓德泓富混合C,0.9877,-1.13%,-10.28%,-13.33%,-8.40%,8.13%,9.75%,
1377,中融新产业灵活配置混合A,0.9669,-0.21%,-0.31%,-1.63%,-3.21%,--,-3.40%,
1378,中融新产业灵活配置混合C,0.9479,-0.21%,-0.42%,-1.87%,-3.76%,--,-5.30%,
1379,景顺长城领先回报混合C,1.2589,-0.79%,-4.85%,-6.13%,-2.54%,15.42%,32.74%,
1380,鹏华弘盛混合C,1.5783,-0.73%,-3.65%,-3.86%,-0.53%,55.33%,58.28%,
1381,鹏华弘泽混合C,1.0818,-2.12%,-3.03%,-2.38%,-3.46%,6.59%,8.08%,
1382,易方达国企改革混合,0.9055,-2.21%,-17.48%,-18.32%,-12.40%,--,-11.70%,
1384,东方新思路混合A,0.7268,-1.23%,-9.99%,-13.44%,-17.24%,-7.33%,-27.10%,
1385,东方新思路混合C,0.7172,-1.26%,-10.07%,-13.60%,-17.55%,-8.39%,-28.05%,
1386,天弘弘运宝货币A,0.6585,0.25%,0.89%,2.00%,4.29%,9.94%,10.00%,
1387,中融新经济混合A,1.4954,-1.38%,-16.19%,-15.86%,-15.63%,--,87.41%,
1388,中融新经济混合C,0.9383,-1.47%,-16.21%,-15.45%,-15.68%,--,-5.90%,
1389,中融鑫视野混合A,0.8878,-4.82%,-12.45%,-19.35%,-22.20%,--,-11.46%,
1390,中融鑫视野混合C,0.8378,-4.76%,-12.46%,-20.34%,-23.54%,--,-16.43%,
1391,天弘弘运宝货币B,0.6312,0.24%,0.86%,1.95%,4.17%,9.27%,9.32%,
1392,国富金融地产混合A,1.01,0.76%,-0.36%,-7.39%,-12.59%,3.77%,2.21%,
1393,国富金融地产混合C,1.0302,2.42%,1.19%,-4.97%,-9.55%,6.69%,4.24%,
1396,建信互联网+产业升级股票,0.5633,-3.27%,-14.59%,-20.85%,-26.82%,-30.19%,-43.80%,
1397,建信精工制造指数增强,0.8571,-5.07%,-12.83%,-25.88%,-28.78%,-14.18%,-14.10%,
1398,华泰柏瑞健康生活混合,0.6018,-6.42%,-21.42%,-28.89%,-28.47%,-22.64%,-40.20%,
1399,安信鑫安得利混合A,1.1773,0.10%,-1.51%,-2.04%,1.04%,14.83%,17.70%,
1400,安信鑫安得利混合C,1.1625,0.09%,-1.57%,-2.14%,0.84%,13.94%,16.22%,
1401,德邦如意货币,0.7702,0.25%,0.90%,1.92%,4.06%,--,9.36%,
1402,信诚新选混合A,0.9661,-1.73%,-7.75%,-14.01%,-12.92%,-4.27%,-3.60%,
1403,招商国企改革主题混合基金,0.6814,-12.31%,-19.15%,-26.69%,-29.77%,-33.53%,-31.60%,
1404,招商移动互联网产业股票基金,0.621,-6.54%,-12.64%,-24.45%,-20.54%,-26.79%,-38.50%,
1405,东方红策略精选混合A,1.0675,0.13%,-0.55%,-1.07%,2.51%,17.00%,16.77%,
1406,东方红策略精选混合C,1.0231,0.10%,-0.67%,-1.32%,2.07%,13.82%,10.29%,
1407,景顺长城稳健回报混合C,1.128,0.45%,0.89%,1.71%,3.11%,10.81%,10.70%,
1408,建信鑫丰回报灵活配置混合A,1.0407,-1.22%,-3.15%,-4.30%,-5.75%,1.65%,4.50%,
1409,工银互联网加股票,0.2682,-8.22%,-20.71%,-27.37%,-37.38%,-55.78%,-73.20%,
1410,信达澳银新能源产业股票,1.1192,-10.51%,-16.75%,-21.60%,-23.52%,18.50%,18.62%,
1411,诺安创新驱动混合A,0.9974,-0.20%,-1.87%,-2.63%,-1.39%,5.19%,5.61%,
1412,德邦鑫星价值灵活配置混合A,1.0525,0.47%,-1.81%,-1.75%,0.90%,15.20%,12.05%,
1413,中融鑫起点混合A,0.9102,0.33%,0.89%,-12.08%,-14.67%,-3.91%,-4.77%,
1414,中融鑫起点混合C,0.867,0.29%,0.78%,-13.42%,-16.54%,-7.90%,-9.19%,
1415,信诚新锐混合A,0.9489,0.42%,0.64%,0.32%,1.83%,7.00%,-5.20%,
1416,嘉实事件驱动股票,0.5902,-5.44%,-18.26%,-26.49%,-30.96%,-25.94%,-40.90%,
1417,汇添富医疗服务混合,0.9329,-4.32%,-20.63%,-12.42%,3.33%,5.80%,-6.90%,
1418,泰达宏利创益混合A,1.1391,2.24%,2.43%,0.35%,1.42%,13.33%,13.90%,
1419,泰达宏利新思路混合A,0.9215,-0.76%,-7.64%,-13.71%,-16.00%,-4.86%,-4.48%,
1420,南方大数据300A,0.8889,-2.65%,-10.19%,-17.65%,-23.44%,3.26%,-11.24%,
1421,南方量化成长,0.831,-9.34%,-15.56%,-26.73%,-32.87%,-13.97%,-17.50%,
1422,景顺长城安享回报混合A,1.061,0.57%,0.78%,1.61%,3.99%,14.07%,15.32%,
1423,景顺长城安享回报混合C,1.048,0.58%,0.82%,1.56%,3.87%,13.05%,13.95%,
1424,博时新起点混合A,1.144,0.74%,-3.10%,-5.19%,-0.94%,14.04%,13.58%,
1425,博时新起点混合C,1.1295,0.73%,-3.12%,-5.24%,-1.04%,12.93%,12.14%,
1426,南方大数据300C,0.8792,-2.69%,-10.28%,-17.81%,-23.75%,2.21%,-12.21%,
1427,招商丰泽混合A,1.0778,-3.33%,-6.29%,-8.84%,-7.66%,6.55%,7.30%,
1428,工银瑞信灵活配置混合B,--,-0.09%,-0.62%,2.55%,3.39%,--,3.77%,
1430,中邮乐享收益灵活配置混合,1.142,0.09%,0.26%,1.51%,2.79%,18.90%,20.33%,
1431,方正富邦优选灵活配置混合A,,,,,,,,
1433,易方达瑞景混合,1.1659,-0.34%,-0.60%,-2.11%,3.11%,16.94%,16.00%,
1437,易方达瑞享混合I,1.129,-9.25%,-11.61%,-20.01%,-19.73%,-7.83%,11.90%,
1438,易方达瑞享混合E,0.9262,-9.29%,-11.65%,-20.10%,-19.90%,-8.38%,-8.20%,
1441,易方达瑞信混合I,0.8383,-0.84%,-5.15%,-8.19%,--,--,-17.10%,
1442,易方达瑞信混合E,0.838,-0.84%,-5.15%,-8.20%,--,--,-17.20%,
1443,易方达瑞选灵活配置混合I,1.0766,-0.65%,-1.20%,-2.99%,1.29%,--,14.97%,
1444,易方达瑞选灵活配置混合E,1.0674,-0.19%,-0.84%,-2.66%,1.50%,--,14.09%,
1445,华安国企改革主题灵活配置混合,1.0846,-6.23%,-11.52%,-19.66%,-17.52%,13.52%,8.30%,
1446,招商丰泽混合C,1.0707,-3.35%,-6.41%,-9.04%,-8.10%,4.51%,6.60%,
1447,天弘惠利混合,1.1796,0.73%,0.93%,0.14%,3.27%,15.99%,17.89%,
1448,华商双翼平衡混合,1.0692,0.19%,-6.47%,-8.71%,-10.02%,11.70%,6.90%,
1449,华商双驱优选混合,0.7746,-7.66%,-13.18%,-28.74%,-30.10%,-4.93%,-8.73%,
1450,东方稳定增利债券A,1.0806,0.06%,0.01%,0.68%,0.58%,7.93%,8.01%,
1451,东方稳定增利债券C,1.0689,0.03%,-0.09%,0.50%,0.29%,6.78%,6.83%,
1453,鹏华弘鑫混合A,0.8779,-1.48%,-11.43%,-17.54%,-19.31%,-12.28%,-12.02%,
1454,鹏华弘鑫混合C,0.8684,-1.48%,-11.44%,-17.56%,-19.37%,-12.89%,-12.98%,
1455,景顺长城中证500ETF联接,0.5931,-7.92%,-15.41%,-25.78%,-31.52%,-31.76%,-40.70%,
1456,华泰柏瑞制造2025混合A,0.8293,-7.64%,-18.63%,-22.27%,-22.56%,-17.43%,-16.60%,
1457,华商新常态混合,0.5937,-4.65%,-14.02%,-21.19%,-33.82%,-36.61%,-24.44%,
1458,广发中证全指主要消费联接A,,,,,,,,
1459,广发中证全指原材料联接A,,,,,,,,
1463,光大一带一路混合,0.6564,-6.35%,-19.81%,-28.83%,-31.33%,-22.43%,-33.60%,
1464,光大鼎鑫混合A,0.9654,-0.52%,-3.79%,-7.74%,-6.03%,3.43%,2.71%,
1466,华富永鑫灵活配置混合A,1.0239,-0.35%,-3.56%,-6.77%,-9.33%,1.13%,2.55%,
1467,华富永鑫灵活配置混合C,1.0087,-0.35%,-3.57%,-6.88%,-9.32%,0.38%,0.38%,
1468,广发改革混合,0.4982,-6.37%,-18.17%,-26.14%,-35.32%,-50.35%,-50.00%,
1469,广发中证全指金融地产联接A,0.8662,-0.70%,-1.42%,-14.03%,-16.87%,2.44%,-13.42%,
1470,融通通鑫灵活配置混合,1.0448,0.10%,-0.66%,0.58%,3.65%,10.84%,10.84%,
1471,融通新能源灵活配置混合,0.8453,-8.60%,-19.69%,-25.14%,-23.11%,7.01%,-6.58%,
1472,融通新能源灵活配置混合(后端),,,,,,,,
1473,建信大安全战略精选股票,1.0902,-2.25%,-15.62%,-18.04%,-22.09%,9.71%,9.15%,
1474,兴银丰盈灵活配置,1.2156,-3.20%,-3.51%,-5.46%,-3.74%,14.03%,21.10%,
1475,易方达国防军工混合,0.689,-9.63%,-10.82%,-21.94%,-26.28%,-24.89%,-32.40%,
1476,中银智能制造股票,0.5189,-7.09%,-17.48%,-27.82%,-38.13%,-42.98%,-47.60%,
1477,泰康薪意保货币A,0.7933,0.26%,0.82%,1.82%,3.94%,10.44%,11.48%,
1478,泰康薪意保货币B,0.8587,0.28%,0.88%,1.94%,4.19%,11.24%,12.36%,
1479,中邮风格轮动灵活配置混合,0.9527,-1.85%,-4.30%,-7.36%,-8.94%,--,6.96%,
1480,财通成长优选混合,0.6721,-6.58%,-14.43%,-21.06%,-28.21%,-29.33%,-31.80%,
1481,华宝标普油气上游股票美元,0.1013,-0.30%,-5.90%,9.85%,18.96%,0.40%,-16.33%,
1482,上投摩根新兴服务股票,0.8401,-2.19%,-17.27%,-22.84%,-25.15%,-16.94%,-15.20%,
1484,天弘新价值混合,1.027,-3.05%,-5.89%,-8.95%,-9.87%,0.58%,2.68%,
1485,华安添颐混合,1.1028,0.18%,0.18%,0.46%,2.61%,9.79%,9.90%,
1487,宝盈优势产业混合,0.9145,1.55%,-11.54%,-19.09%,-19.58%,-1.93%,4.84%,
1488,万家瑞丰灵活配置混合A,1.1448,-0.35%,-1.02%,-0.37%,-1.48%,14.53%,14.35%,
1489,万家瑞丰灵活配置混合C,1.1032,-0.42%,-1.22%,-0.82%,-2.05%,10.44%,10.19%,
1490,汇添富国企创新股票,0.7559,-4.52%,-20.83%,-30.02%,-30.47%,-19.66%,-24.00%,
1495,东方新价值混合A,1.1134,-3.35%,-5.35%,-9.53%,-5.24%,7.39%,10.67%,
1496,工银聚焦30股票,0.6077,1.16%,-7.31%,-12.88%,-25.00%,-36.36%,-39.10%,
1497,大成月添利债券E,0.8602,0.27%,0.92%,1.98%,4.21%,11.17%,12.36%,
1498,建信鑫荣回报灵活配置混合,1.1822,-2.55%,-6.91%,-4.56%,5.57%,--,18.30%,
1499,国投瑞银新增长混合,1.1336,0.58%,0.12%,-3.11%,2.45%,14.83%,17.48%,
1500,泓德远见回报混合,0.9786,-3.86%,-14.16%,-13.08%,-7.08%,14.73%,20.81%,
1503,南方利鑫C,1.134,0.09%,-0.35%,0.09%,1.89%,11.29%,12.61%,
1504,南方利淘C,1.142,0.09%,-0.26%,0.09%,1.96%,12.96%,13.29%,
1505,南方利众C,1.0837,0.09%,-1.72%,-2.00%,-2.51%,12.57%,13.24%,
1506,景顺长城泰和回报混合A,1.121,0.45%,-0.18%,0.54%,2.00%,11.98%,12.20%,
1507,景顺长城泰和回报混合C,1.11,0.09%,-0.54%,0.09%,1.46%,--,9.78%,
1508,富国新动力灵活配置混合A,1.3687,-3.91%,-12.22%,-7.28%,12.50%,32.09%,35.00%,
1510,富国新动力灵活配置混合C,1.3531,-3.95%,-12.34%,-7.42%,12.08%,30.09%,33.60%,
1511,兴全新视野定开混合,1.0247,-2.86%,-10.22%,-16.88%,-12.25%,5.26%,7.05%,
1512,易方达中债3-5年期国债指数,1.1131,0.63%,0.72%,2.49%,4.21%,9.44%,11.30%,
1513,易方达信息产业混合,0.9823,-12.70%,-14.32%,-21.73%,-18.50%,--,-3.10%,
1515,平安大华新鑫先锋C,0.8207,-12.85%,-19.06%,-28.46%,-32.97%,-43.41%,-54.48%,
1516,大成月月盈短期理财债券E,0.766,0.25%,0.86%,1.87%,4.14%,11.58%,12.99%,
1518,万家瑞兴,1.1999,-4.91%,-5.33%,-20.82%,-11.17%,19.77%,79.89%,
1520,国投瑞银研究精选股票,0.7938,-0.25%,-12.25%,-18.83%,--,--,-19.80%,
1521,国寿安保成长优选股票,0.8574,-6.16%,-18.84%,-27.28%,-28.02%,--,-9.25%,
1522,博时新策略灵活配置混合A,1.0799,0.25%,0.94%,1.62%,3.98%,--,13.22%,
