代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,,
131,大成景兴信用债债券C,1.1962,0.34%,2.40%,5.47%,7.55%,13.88%,52.04%,,
134,信诚理财28日盈A,0.8868,0.27%,0.96%,1.99%,4.14%,--,5.77%,,
135,信诚理财28日盈B,0.9667,0.29%,1.03%,2.15%,4.45%,--,6.21%,,
136,民生加银策略精选混合,1.8922,-5.61%,-11.91%,-17.06%,-13.59%,5.80%,121.34%,,
137,民生加银岁岁增利债券A,1.1186,0.81%,2.47%,3.52%,5.67%,13.44%,39.48%,,
138,民生加银岁岁增利债券C,1.1101,0.86%,2.35%,3.30%,5.26%,12.06%,36.64%,,
139,富国国有企业债债券A,1.0087,0.41%,1.45%,2.46%,4.82%,10.16%,31.08%,,
140,富国国有企业债债券A(后端),,,,,,,,,
141,富国国有企业债C级,1.0059,0.37%,1.37%,2.38%,4.54%,8.89%,28.52%,,
142,融通通泰保本混合A,1.0295,3.10%,-0.10%,-0.96%,0.00%,2.18%,5.99%,,
143,鹏华双债加利债券,1.3191,0.10%,0.36%,0.54%,-1.36%,8.72%,38.65%,,
147,易方达高等级信用债债券A,1.2172,0.83%,2.10%,2.96%,5.64%,10.84%,29.60%,,
148,易方达高等级信用债债券C,1.2132,0.75%,1.93%,2.71%,7.25%,11.80%,29.27%,,
149,华安双债添利债券A,1.1661,0.34%,1.39%,2.01%,5.14%,9.86%,50.84%,,
150,华安双债添利债券C,1.1481,0.35%,1.32%,1.86%,4.74%,8.55%,48.83%,,
151,诺安信用债券一年定开债,,,,,,,,已终止,
152,大成景旭纯债A,1.1372,0.80%,1.34%,2.43%,4.22%,12.34%,36.27%,,
153,大成景旭纯债C,1.1152,0.81%,1.27%,2.29%,3.81%,10.98%,33.95%,,
154,富国沪深300指数增强(后端),,,,,,,,,
155,富国通胀通缩主题轮动混合(后端),,,,,,,,,
157,富国全球科技互联网(QDII)(后端),,,,,,,,,
158,富国低碳环保混合(后端),,,,,,,,,
159,富国高新技术产业混合(后端),,,,,,,,,
160,富国强回报A/B级(后端),,,,,,,,,
161,富国宏观策略(后端),,,,,,,,,
162,富国中国中小盘混合(后端),,,,,,,,,
163,富国全球债券(后端),,,,,,,,,
164,富国上证综指联接(后端),,,,,,,,,
165,国投瑞银策略精选混合,1.4745,-1.22%,-4.50%,-6.64%,-6.46%,17.39%,121.24%,,
166,中海策略精选灵活配置混合,0.9165,-3.75%,-7.98%,-11.41%,-10.78%,-8.28%,27.56%,,
167,广发聚优灵活配置混合A,1.1053,0.64%,-15.49%,-16.83%,-13.96%,-8.35%,28.77%,,
171,易方达裕丰回报债券,1.6311,0.68%,0.62%,1.25%,5.24%,19.47%,62.60%,,
172,华泰柏瑞量化增强混合A,1.146,-0.61%,-7.94%,-14.17%,-18.19%,13.68%,119.53%,,
173,汇添富美丽30混合,2.0089,-3.65%,-16.05%,-22.58%,-13.30%,2.06%,98.20%,,
174,汇添富高息债债券A,1.3998,0.14%,0.72%,-1.34%,0.21%,5.89%,43.48%,,
175,汇添富高息债债券C,1.3318,0.15%,0.45%,-4.04%,-2.85%,1.23%,36.56%,,
176,嘉实沪深300指数研究增强,1.1119,-0.42%,-8.16%,-14.83%,-14.29%,6.83%,11.16%,,
177,嘉实丰益信用定期债券A,1.0152,0.50%,0.90%,1.87%,3.64%,10.94%,34.66%,,
179,广发美国房地产指数,1.1169,-6.02%,-1.61%,14.10%,-0.47%,14.49%,46.66%,,
180,广发美国房地产指数现汇,0.1618,-6.80%,-5.67%,3.92%,-5.13%,5.25%,31.27%,,
181,景顺长城四季金利债券A,1.1692,0.43%,0.51%,1.56%,0.86%,8.52%,30.97%,,
182,景顺长城四季金利债券C,1.1522,0.35%,0.44%,1.32%,0.44%,7.25%,28.49%,,
183,嘉实丰益策略定期债券,1.0023,0.80%,0.46%,1.38%,0.30%,10.16%,29.95%,,
184,工银添福债券A,1.6325,0.74%,0.99%,-1.68%,-2.74%,2.38%,63.40%,,
185,工银添福债券B,1.6275,0.68%,2.97%,0.18%,-1.15%,3.23%,62.90%,,
186,华泰柏瑞季季红债券,1.0548,0.62%,1.74%,4.79%,8.01%,13.37%,34.77%,,
187,华泰柏瑞丰盛纯债债券A,1.1771,0.92%,1.44%,4.58%,8.40%,13.46%,33.85%,,
188,华泰柏瑞丰盛纯债债券C,1.1561,0.87%,1.32%,4.38%,7.95%,11.99%,31.55%,,
189,易方达保本一号混合,1.0299,8.94%,0.19%,0.49%,0.29%,2.10%,--,,
190,中银新回报灵活配置混合,1.2944,0.62%,-0.85%,-0.12%,5.23%,16.96%,65.38%,,
191,富国信用债债券A,1.0241,0.69%,2.08%,3.39%,5.77%,12.03%,33.55%,,
192,富国信用债债券C,1.0241,0.69%,1.98%,3.19%,5.36%,10.62%,30.57%,,
194,银华信用四季红债券,1.0621,0.57%,1.72%,3.11%,5.15%,12.21%,43.98%,,
195,工银保本3号混合A,1.0559,5.50%,0.38%,1.93%,2.83%,4.35%,9.06%,,
196,工银保本3号混合B,1.0406,4.00%,0.29%,1.76%,2.46%,3.59%,6.99%,,
197,富国目标收益一年期纯债债券,1.0381,-0.01%,1.23%,2.59%,4.70%,12.54%,32.04%,,
198,天弘余额宝货币,0.7387,0.23%,0.78%,1.72%,3.76%,10.26%,22.53%,,
199,国泰策略收益灵活配置混合,1.0903,-0.27%,-8.18%,-18.12%,-24.53%,-9.70%,28.88%,,
200,博时岁岁增利一年定开债券,1.0032,0.31%,1.60%,2.81%,2.61%,10.02%,34.60%,,
201,诺安泰鑫一年定期开放债券A,1.0492,0.29%,1.84%,3.76%,5.55%,11.25%,29.52%,,
202,富国目标收益两年期纯债债券,1.0762,0.75%,2.09%,3.56%,5.59%,16.18%,39.37%,,
203,国富日日收益货币A,2.0382,0.22%,0.71%,1.57%,3.51%,9.52%,20.33%,,
204,国富日日收益货币B,2.1034,0.24%,0.77%,1.69%,3.76%,10.31%,21.93%,,
205,易方达投资级信用债债券A,1.1292,0.44%,1.62%,2.53%,5.07%,11.60%,36.36%,,
206,易方达投资级信用债债券C,1.1292,0.53%,1.62%,2.53%,5.16%,11.21%,35.14%,,
207,建信双债增强债券A,1.148,-1.04%,-1.72%,-6.68%,-8.84%,-7.21%,15.63%,,
208,建信双债增强债券C,1.1249,-1.15%,-1.84%,-6.81%,-9.15%,-8.33%,13.31%,,
209,信诚新兴产业混合,1.0273,-7.80%,-16.07%,-27.59%,-35.93%,-39.89%,2.90%,,
210,光大现金宝货币A,0.6619,0.22%,0.72%,1.64%,3.59%,9.73%,19.14%,,
211,光大现金宝货币B,0.7274,0.24%,0.78%,1.77%,3.84%,10.52%,20.60%,,
212,泰信鑫益定期开放债券A,1.0972,0.46%,1.11%,2.52%,4.18%,8.89%,27.99%,,
213,泰信鑫益定期开放债券C,1.0862,0.37%,0.93%,2.16%,3.73%,7.51%,25.17%,,
214,广发成长优选混合,1.3873,0.58%,-2.12%,-0.57%,-9.65%,5.80%,38.60%,,
215,广发趋势优选灵活配置,1.5917,1.09%,0.54%,-0.07%,4.71%,24.71%,73.22%,,
216,华安黄金易ETF联接A,1.0032,1.01%,-0.46%,-2.10%,-3.19%,12.25%,-1.22%,,
217,华安黄金易ETF联接C,0.9966,1.01%,-0.48%,-2.10%,-3.30%,11.77%,-1.87%,,
218,国泰黄金ETF联接A,1.0313,2.20%,0.98%,-1.48%,-2.46%,--,2.72%,,
219,博时裕益灵活配置,0.9976,-9.83%,-18.03%,-25.26%,-22.84%,-16.14%,22.93%,,
220,富国医疗保健行业混合,1.7758,-7.85%,-20.14%,-10.79%,-2.44%,-6.43%,76.10%,,
221,汇添富年年利定开债A,1.1766,0.34%,0.26%,-3.21%,-2.81%,4.23%,22.37%,,
222,汇添富年年利定开债C,1.1515,0.35%,0.17%,-3.44%,-3.35%,2.87%,19.84%,,
225,长盛年年收益定期开放债券A,1.2342,0.49%,1.14%,1.98%,-1.20%,3.94%,23.90%,,
226,长盛年年收益定期开放债券C,1.2162,0.49%,1.08%,1.83%,-1.53%,3.04%,22.10%,,
227,华安年年红债券A,1.0724,0.28%,3.36%,4.34%,5.75%,12.02%,39.35%,,
235,诺安稳固收益一年定开债券,1.0692,0.47%,2.00%,5.22%,7.60%,11.51%,27.78%,,
236,工银月月薪定期支付债券A,1.4566,-1.22%,-2.41%,-4.01%,-1.88%,3.26%,45.90%,,
237,国投瑞银一年定期开放债A,1.1077,0.36%,2.31%,2.88%,5.33%,9.36%,34.64%,,
238,国投瑞银一年定期开放债C,1.0957,0.27%,2.24%,2.72%,4.99%,8.41%,32.86%,,
239,华安年年盈定开债A,1.0172,0.49%,3.56%,3.99%,3.99%,4.58%,8.50%,,
240,华安年年盈定开债C,1.0082,0.40%,3.49%,3.70%,3.60%,3.56%,7.27%,,
241,宝盈核心优势混合C,0.6963,-8.31%,-22.89%,-29.06%,-28.89%,-29.38%,33.93%,,
242,景顺长城策略精选,0.9309,-1.27%,-12.79%,-13.52%,-18.07%,-1.86%,47.48%,,
244,天弘稳利定期开放A,1.1332,1.07%,1.98%,3.09%,5.39%,12.19%,37.60%,,
245,天弘稳利定期开放B,1.1112,1.09%,1.83%,2.87%,4.91%,10.99%,34.83%,,
246,博时月月薪定期支付债券,0.9532,0.32%,1.09%,3.25%,3.65%,11.18%,41.41%,,
248,汇添富中证主要消费ETF联接,1.344,-0.24%,-11.71%,-12.56%,-6.63%,48.35%,31.08%,,
251,工银金融地产混合,2.1603,1.36%,1.50%,-10.08%,-8.95%,21.01%,177.24%,,
252,景顺长城景兴信用纯债A,1.3002,0.54%,1.56%,2.44%,1.64%,7.17%,30.00%,,
253,景顺长城景兴信用纯债C,1.2732,0.55%,1.51%,2.33%,1.35%,5.99%,27.40%,,
254,长城增强收益定开债券A,1.1157,0.53%,1.51%,2.23%,4.23%,13.49%,41.34%,,
255,长城增强收益定开债券C,1.1071,0.50%,1.40%,2.08%,3.78%,12.10%,38.56%,,
256,上投摩根红利回报混合A,0.9409,-1.88%,-4.37%,-5.72%,-5.76%,1.84%,29.91%,,
257,上投岁岁盈定开债券A,1.0342,0.68%,1.57%,1.97%,3.92%,7.21%,23.02%,,
258,上投岁岁盈定开债券C,1.0272,0.69%,1.48%,1.88%,3.63%,6.09%,20.83%,,
259,农银区间收益混合,1.9026,-3.18%,-13.32%,-15.33%,-16.30%,9.15%,90.95%,,
263,工银信息产业混合,1.1769,-7.10%,-15.31%,-20.67%,-21.36%,-33.37%,37.72%,,
264,博时内需增长混合,0.8069,-6.19%,-16.53%,-24.60%,-17.89%,-23.30%,-21.50%,,
265,易方达恒久添利1年定开债A,1.0712,0.37%,1.71%,2.78%,5.63%,10.56%,18.63%,,
266,易方达恒久添利1年定开债C,1.0622,0.28%,1.43%,2.51%,5.17%,9.21%,16.63%,,
267,广发集利一年定开债A,1.0962,0.64%,1.95%,3.27%,5.22%,13.92%,48.21%,,
268,广发集利一年定开债C,1.0922,0.64%,1.86%,3.09%,4.84%,12.62%,45.17%,,
269,嘉实合润双债两年期定期债券,1.0482,0.29%,1.55%,2.85%,4.49%,--,4.80%,,
270,建信安心保本混合,1.0514,5.20%,0.10%,0.48%,1.15%,2.53%,5.78%,,
271,中邮定开债A,1.0572,0.38%,1.63%,2.92%,5.25%,12.70%,38.32%,,
272,中邮定开债C,1.0532,0.48%,1.64%,2.83%,5.07%,12.17%,36.75%,,
273,华润元大安鑫灵活配置混合,1.0681,-1.02%,-5.51%,-21.01%,-26.77%,-9.47%,62.15%,,
274,广发亚太中高收益债券,--,1.31%,10.11%,7.91%,2.31%,21.81%,32.17%,,
275,广发亚太中高收益债券现汇,--,0.39%,5.52%,-1.80%,-2.55%,11.87%,17.36%,,
277,博时双月薪定期支付债券,1.0012,0.20%,2.22%,3.87%,4.39%,18.54%,52.98%,,
279,华商红利优选灵活配置,0.8556,-5.30%,-11.92%,-14.90%,-12.91%,-4.52%,100.30%,,
286,银华信用季季红债券,1.0592,0.67%,1.63%,3.39%,5.73%,17.85%,37.33%,,
289,鹏华丰泰定期开放债券A,1.02,0.81%,1.67%,1.20%,2.87%,8.35%,36.65%,,
290,鹏华全球高收益债,1.0869,1.29%,6.40%,2.40%,-1.95%,19.93%,40.98%,,
291,鹏华普悦债券,0.9387,-1.69%,-3.41%,-5.04%,-1.63%,4.20%,39.83%,,
294,华安生态优先混合,1.8156,-2.98%,-11.83%,-15.01%,-9.78%,27.51%,78.90%,,
295,鹏华丰实定期开放债券A,1.0761,0.56%,1.41%,0.94%,2.47%,7.69%,34.48%,,
296,鹏华丰实定期开放债券B,1.0621,0.57%,1.33%,0.85%,2.11%,6.72%,32.16%,,
297,鹏华可转债债券,0.804,-1.22%,-4.49%,-8.18%,-6.26%,-15.22%,-19.20%,,
298,中海纯债债券A,1.0421,0.48%,1.26%,2.66%,3.48%,5.17%,18.63%,,
299,中海纯债债券C,1.0251,0.49%,1.18%,2.50%,3.22%,4.21%,16.92%,,
300,德邦德利货币A,1.0038,0.19%,0.65%,1.55%,3.54%,9.58%,19.51%,,
301,德邦德利货币B,1.0696,0.21%,0.71%,1.67%,3.79%,10.37%,20.95%,,
303,长盛双月红定期债券A,0.9632,0.73%,1.15%,2.44%,0.10%,3.34%,18.56%,,
304,长盛双月红定期债券C,0.9582,0.73%,1.05%,2.23%,-0.21%,2.40%,16.86%,,
305,中银中高等级A,1.0551,0.76%,1.82%,3.69%,5.91%,10.44%,33.64%,,
306,天弘弘利债券,1.1851,-0.34%,-0.42%,-1.17%,1.27%,5.53%,30.23%,,
307,易方达黄金ETF联接A,0.968,0.88%,-0.51%,-1.98%,-3.08%,--,-4.69%,,
308,建信创新中国混合,1.9783,1.70%,-8.05%,-17.45%,-23.37%,5.33%,97.70%,,
309,大摩品质生活精选股票,1.4532,-2.36%,-8.54%,-19.68%,-23.99%,11.33%,44.50%,,
310,安信永利信用A,1.0825,0.37%,3.05%,3.94%,5.45%,13.41%,43.72%,,
311,景顺长城沪深300增强,1.7231,-0.35%,-8.72%,-15.29%,-14.37%,24.25%,103.28%,,
312,华安沪深300增强A,1.3043,-4.24%,-9.03%,-16.06%,-14.93%,20.47%,57.94%,,
313,华安沪深300增强C,1.2613,-4.26%,-9.15%,-16.22%,-15.35%,18.86%,53.57%,,
314,招商瑞丰灵活配置混合发起式A,1.2845,-3.54%,-5.75%,-8.45%,-7.45%,6.39%,42.13%,,
316,中海惠利纯债分级债券,0.9964,0.30%,0.63%,1.81%,6.32%,2.43%,23.37%,,
317,中海惠利纯债分级债券A,,,,,,,,,
318,中海惠利纯债分级债券B,0.9939,0.30%,0.52%,1.78%,5.74%,0.43%,25.23%,,
319,泰达淘利债券A,1.1832,0.69%,1.47%,2.66%,4.48%,12.57%,29.46%,,
320,泰达淘利债券C,1.1727,0.67%,1.40%,2.51%,4.19%,11.75%,28.29%,,
322,农银14天理财A,0.704,0.25%,0.78%,1.75%,3.81%,10.28%,19.59%,,
323,农银14天理财B,0.7675,0.27%,0.84%,1.88%,3.93%,10.95%,20.83%,,
324,华润元大现金收益货币A,0.5748,0.19%,0.64%,1.64%,3.67%,9.76%,19.30%,,
325,华润元大现金收益货币B,0.6406,0.21%,0.71%,1.76%,3.92%,10.56%,20.72%,,
326,南方顺达,1.0323,5.00%,0.19%,0.00%,-0.10%,-0.67%,--,,
327,南方新蓝筹混合,1.0794,-0.68%,-2.93%,-2.53%,-1.11%,8.85%,8.09%,,
328,上投摩根转型动力灵活配置混合,1.1002,-6.02%,-23.74%,-32.40%,-39.09%,-34.71%,10.80%,,
329,鹏华丰饶定开债,1.0271,0.59%,1.48%,2.91%,3.11%,--,2.70%,,
330,汇添富现金宝货币,0.9562,0.28%,0.95%,2.01%,4.21%,11.03%,22.02%,,
331,中加货币A,1.0649,0.24%,0.74%,1.73%,3.88%,10.55%,21.47%,,
332,中加货币C,1.1303,0.26%,0.80%,1.85%,4.13%,11.35%,22.93%,,
333,长城稳固收益债券A,1.1297,0.47%,0.84%,2.07%,3.19%,7.06%,15.09%,,
334,长城稳固收益债券C,1.1119,0.43%,0.73%,1.83%,2.68%,5.68%,13.29%,,
335,安信永利信用C,1.0585,0.38%,2.92%,3.73%,5.05%,12.03%,40.93%,,
336,农银研究精选,1.0059,-11.85%,-12.05%,-21.79%,-31.43%,-29.93%,1.27%,,
338,鹏华双债保利债券,1.0873,-0.47%,-1.62%,0.06%,6.37%,10.78%,29.50%,,
339,长城医疗保健混合,1.38,-3.09%,-15.75%,-12.38%,-12.66%,6.24%,37.48%,,
341,嘉实新兴市场C2(QDII),1.0999,0.18%,1.39%,-2.66%,-3.09%,10.23%,15.96%,,
342,嘉实新兴市场A1(QDII),1.2069,1.17%,5.98%,7.20%,2.29%,26.80%,52.92%,,
343,华夏财富宝货币A,0.8489,0.26%,0.84%,1.91%,4.11%,11.00%,21.73%,,
345,鹏华丰融定期开放债券,,,,,,,,,
346,建信安心回报两年定开债A,1.0392,0.58%,1.76%,3.39%,6.27%,12.68%,32.35%,,
